,lat,long,type
445,37.4575697,127.0146461,bus
446,37.4601382,127.0253699,bus
447,37.45124677,127.0582967,bus
448,37.45635887,127.0151999,bus
449,37.45358046,127.0594664,bus
450,37.456285,127.019194,bus
451,37.45796273,127.0228714,bus
452,37.50602489,127.0235965,bus
453,37.49468552,127.0289856,bus
454,37.45945897,127.0240826,bus
455,37.45798232,127.0227583,bus
456,37.45608463,127.0173746,bus
457,37.46476798,127.0252095,bus
458,37.49406836,127.0145718,bus
459,37.49565217,127.0058992,bus
460,37.48342154,127.0420829,bus
461,37.48192739,127.0177694,bus
462,37.46589235,127.022689,bus
463,37.47706254,126.9831137,bus
464,37.47048506,127.0301238,bus
465,37.46033777,127.0239328,bus
466,37.45641032,127.0153001,bus
467,37.51206287,127.0052307,bus
468,37.47825329,126.989529,bus
469,37.48926052,127.0045331,bus
470,37.47459611,127.032012,bus
471,37.48807001,126.9949939,bus
472,37.50324888,127.0249422,bus
473,37.47658753,127.0454282,bus
474,37.48272257,127.021662,bus
475,37.50858055,127.0030088,bus
476,37.48620379,127.0040271,bus
477,37.49541808,127.0248549,bus
478,37.47168148,127.0306111,bus
479,37.48860096,126.9968192,bus
480,37.47650103,126.9827358,bus
481,37.49980287,127.026569,bus
482,37.48397456,127.0305037,bus
483,37.5057468,127.0033421,bus
484,37.48306577,127.0042229,bus
485,37.47012586,127.0320862,bus
486,37.49701244,127.0278812,bus
487,37.50039559,126.996461,bus
488,37.49934072,126.996282,bus
489,37.4720362,127.0456725,bus
490,37.48423692,127.032365,bus
491,37.50463178,126.9998548,bus
492,37.48225754,127.0018175,bus
493,37.49649075,127.0227218,bus
494,37.46772908,127.0343723,bus
495,37.48919876,126.9985479,bus
496,37.49366364,127.0294803,bus
497,37.49149367,127.0067758,bus
498,37.47049586,127.0422487,bus
499,37.50395678,126.9970089,bus
500,37.48065623,126.9980266,bus
501,37.48940367,127.0276681,bus
502,37.49562949,127.019711,bus
503,37.46534497,127.0340191,bus
504,37.48875451,126.9970312,bus
505,37.49095823,127.0307566,bus
506,37.49111714,127.0078969,bus
507,37.47243621,127.041478,bus
508,37.47889896,126.9991879,bus
509,37.48805334,127.0265406,bus
510,37.49925537,127.0264184,bus
511,37.48921641,127.0303124,bus
512,37.47364929,127.0432953,bus
513,37.48187604,127.0169997,bus
514,37.4771494,127.0003403,bus
515,37.48720399,127.0238598,bus
516,37.46235518,127.0361648,bus
517,37.48619157,127.0102265,bus
518,37.48104239,127.0140682,bus
519,37.49416012,127.0136534,bus
520,37.47960889,127.0107264,bus
